userId,movieId,rating,timestamp
358,20,1.0,1997-07-14 02:23:52
358,50,4.0,1997-07-15 00:51:24
358,52,1.0,1997-07-10 04:02:09
358,70,5.0,1997-07-14 00:55:20
358,93,2.0,1997-07-14 01:00:32
358,117,3.0,1997-07-15 01:36:29
358,149,3.0,1997-07-15 01:15:04
358,154,4.0,1997-07-14 00:38:33
358,163,3.0,1997-07-15 00:52:23
358,188,3.0,1997-07-15 00:52:46
358,223,5.0,1997-07-14 00:53:15
358,224,3.0,1997-07-14 00:54:51
358,231,1.0,1997-07-15 01:22:31
358,235,3.0,1997-07-14 00:52:54
358,253,3.0,1997-07-15 00:51:58
358,260,4.0,1997-07-14 01:04:55
358,296,3.0,1997-07-14 00:52:54
358,307,1.0,1997-07-15 00:54:31
358,316,3.0,1997-07-15 01:26:31
358,339,2.0,1997-07-14 00:55:20
358,355,3.0,1997-07-15 01:22:53
358,357,3.0,1997-07-15 00:51:58
358,364,4.0,1997-07-15 01:58:16
358,367,3.0,1997-07-14 00:52:54
358,382,4.0,1997-07-14 01:26:50
358,392,1.0,1997-07-14 00:42:16
358,442,2.0,1997-07-15 01:37:33
358,449,5.0,1997-07-14 00:58:08
358,466,4.0,1997-07-14 00:52:52
358,480,1.0,1997-07-15 01:38:51
358,500,3.0,1997-07-15 01:22:02
358,519,3.0,1997-07-15 01:25:14
358,532,4.0,1997-07-14 00:57:15
358,535,1.0,1997-07-15 01:38:51
358,541,4.0,1997-07-14 01:18:58
358,588,4.0,1997-07-15 01:58:16
358,589,3.0,1997-07-14 01:22:51
358,590,3.0,1997-07-14 01:15:45
358,608,3.0,1997-07-15 00:51:58
358,665,5.0,1997-07-14 00:51:06
358,666,4.0,1997-07-14 00:40:56
358,680,4.0,1997-07-14 01:19:34
358,720,4.0,1997-07-14 01:20:18
358,721,2.0,1997-07-14 00:47:13
358,733,2.0,1997-07-15 01:37:33
358,745,5.0,1997-07-14 01:09:18
358,750,4.0,1997-07-15 00:51:25
358,751,5.0,1997-07-14 00:59:54
358,761,4.0,1997-07-14 02:23:52
358,778,3.0,1997-07-15 00:51:58
358,784,2.0,1997-07-15 00:54:00
358,969,3.0,1997-07-15 00:53:40
358,1064,4.0,1997-07-15 01:56:43
358,1079,2.0,1997-07-14 00:54:51
358,1080,4.0,1997-07-14 01:05:45
358,1089,3.0,1997-07-15 00:52:23
358,1092,2.0,1997-07-15 00:54:30
358,1093,3.0,1997-07-14 01:24:19
358,1094,2.0,1997-07-15 00:54:31
358,1136,4.0,1997-07-15 00:51:24
358,1148,5.0,1997-07-15 01:54:35
358,1175,4.0,1997-07-14 00:38:33
358,1176,1.0,1997-07-15 00:54:52
358,1186,3.0,1997-07-15 00:52:46
358,1190,3.0,1997-07-15 01:36:51
358,1196,3.0,1997-07-15 00:52:23
358,1200,3.0,1997-07-15 01:23:54
358,1204,4.0,1997-07-14 01:20:55
358,1206,2.0,1997-07-15 00:54:00
358,1208,5.0,1997-07-14 01:18:35
358,1210,3.0,1997-07-15 00:51:58
358,1212,3.0,1997-07-15 00:53:40
358,1214,3.0,1997-07-15 01:36:29
358,1215,3.0,1997-07-14 01:20:55
358,1220,3.0,1997-07-14 00:57:33
358,1225,2.0,1997-07-14 01:25:09
358,1228,3.0,1997-07-14 01:23:35
358,1237,5.0,1997-07-15 01:33:15
358,1238,3.0,1997-07-14 00:53:35
358,1240,3.0,1997-07-15 00:53:18
358,1241,4.0,1997-07-14 00:54:36
358,1244,1.0,1997-07-15 01:18:00
358,1245,5.0,1997-07-14 01:19:34
358,1249,3.0,1997-07-15 01:38:13
358,1251,3.0,1997-07-15 00:57:13
358,1255,3.0,1997-07-15 00:53:18
358,1264,3.0,1997-07-14 00:42:42
358,1268,4.0,1997-07-14 01:22:21
